company,year,quarter,sentiment_score,price_return,aligned
Nvidia,2007,Q1,0.525285005569458,0.4368683528004651,True
Nvidia,2022,Q2,0.6444936196009318,-0.1583259043702035,False
Nvidia,2020,Q3,0.14962944984436036,-0.03414481334854069,True
Nvidia,2022,Q3,0.7031990736722946,0.16829756410215316,True
Nvidia,2018,Q3,0.3757470761026655,-0.5376563880169476,True
Nvidia,2024,Q3,0.8001039368765694,0.17520906308841397,True
Nvidia,2020,Q2,-0.20819341391324997,0.3882166956571336,False
Nvidia,2021,Q2,0.4181077778339386,0.015268868686102466,False
Nvidia,2019,Q2,0.5207085609436035,0.03466352996182223,True
Nvidia,2025,Q1,0.771070808172226,0.43223750846948006,True
Nvidia,2023,Q4,0.10274725300925118,5.315077046034483,False
Nvidia,2018,Q4,0.7000801265239716,-0.09582852055174651,False
Nvidia,2019,Q4,-0.25444128683635164,0.9584987280515467,False
Nvidia,2020,Q4,0.43549829721450806,1.1503800998867795,False
Nvidia,2023,Q1,0.3359145075082779,0.4599042129613006,False
Nvidia,2024,Q4,0.8422784124101911,1.277677780544277,True
Nvidia,2022,Q4,0.7595741663660321,-0.08989534344109466,False
Nvidia,2021,Q3,0.535716325044632,0.4265559708665128,True
Nvidia,2023,Q3,0.6465972065925598,0.10594342624652751,True
Nvidia,2021,Q4,0.5669517091342381,1.1137685979345353,True
Nvidia,2025,Q2,0.8060880601406097,0.18630303633648582,True
Nvidia,2020,Q1,0.12359925678798131,0.5146584679996118,False
Nvidia,2023,Q2,0.06848682676042829,0.025689969097075077,False
Nvidia,2022,Q1,0.7597843036055565,-0.4180411364493148,False
Nvidia,2021,Q1,0.4580739736557007,0.4503113920358205,False
Nvidia,2024,Q1,0.6792129675547282,0.3672649466799151,True
Nvidia,2024,Q2,0.7627136968076229,-0.023247158215663963,False
Nvidia,2019,Q1,0.8434406995773316,-0.097995090900562,False
BKNG,2017,Q4,0.39448820882373387,0.4079806476516993,False
BKNG,2018,Q4,0.22503939867019654,-0.022322577006941166,True
